,total_watt
0,305.692
1,293.388
2,189.646
3,297.196
4,287.479
5,177.025
6,295.842
7,178.242
8,289.721
9,174.479
10,266.817
11,191.012
12,179.446
13,197.458
14,231.029
15,144.758
16,139.587
17,172.721
18,175.083
19,170.858
20,171.512
21,154.646
22,140.775
23,139.8
24,86.9625
25,45.6844
26,36.5574
27,31.0
28,31.7049
29,27.4631
30,26.7213
31,30.2582
32,33.7131
33,34.0369
34,146.316
35,58.1803
36,46.6885
37,122.525
38,709.459
39,207.754
40,27.2951
41,26.5738
42,31.5082
43,33.9631
44,33.8934
45,29.418
46,32.9467
47,30.9836
48,28.2541
49,32.7295
50,77.8156
51,71.3525
52,107.34
53,63.5779
54,60.2869
55,83.8934
56,74.6311
57,83.6639
58,55.8352
59,28.8484
60,32.9508
61,28.8115
62,26.9262
63,27.1434
64,33.4508
65,34.209
66,32.6352
67,29.9795
68,33.4631
69,29.1352
70,34.3689
71,39.709
72,97.168
73,365.053
74,366.09
75,145.906
76,41.9549
77,38.7295
78,37.7254
79,39.8607
80,52.5164
81,79.7582
82,358.73
83,358.217
84,364.135
85,358.209
86,360.025
87,357.504
88,353.84
89,405.082
90,518.0
91,511.84
92,349.75
93,325.094
94,281.594
95,312.721
96,308.082
97,179.303
98,295.709
99,239.209
100,233.852
101,181.324
102,291.18
103,160.504
104,181.25
105,262.148
106,154.676
107,150.197
108,205.123
109,179.34
110,174.057
111,147.082
112,144.037
113,143.135
114,144.352
115,132.988
116,27.0041
117,26.7951
118,33.0738
119,34.2951
120,41.2213
121,46.1844
122,50.0246
123,39.6189
124,29.2459
125,32.8648
126,28.3607
127,26.8689
128,27.7582
129,35.623
130,156.607
131,47.6025
132,32.5246
133,33.1803
134,28.9467
135,30.0451
136,32.3361
137,27.7746
138,26.9221
139,28.9713
140,33.709
141,34.0943
142,31.1393
143,31.2418
144,32.5943
145,28.4549
146,30.9836
147,31.5779
148,27.5533
149,26.7951
150,30.3033
151,33.7623
152,34.0246
153,30.1844
154,32.1475
155,31.7254
156,28.2746
157,31.959
158,30.6844
159,27.3648
160,51.3671
161,76.9016
162,53.959
163,44.0656
164,180.066
165,226.496
166,58.3361
167,43.8607
168,51.181
169,54.5943
170,52.6967
171,38.4344
172,46.75
173,112.41
174,372.574
175,163.406
176,45.0984
177,43.2459
178,45.2418
179,71.0779
180,70.2008
181,72.3689
182,74.8074
183,213.107
184,472.402
185,531.898
186,520.697
187,421.234
188,333.934
189,320.463
190,318.557
191,255.75
